k,weight_factor,penalty_factor,MSE
1,180,0.9,2.5623700476607754
1,180,1,2.5395010268043965
2,1,0.1,2.460267637414456
2,1,0.2,2.326672369140185
2,1,0.3,2.238799095583992
2,1,0.6,2.2093849191009767
2,1,0.7,2.214820111160677
2,1,0.8,2.228055370113802
2,1,0.9,2.2134991680619787
2,1,1,2.227796751458765
2,30,0.1,2.461232074139345
2,30,0.2,2.327070905685715
2,30,0.3,2.238196311642906
2,30,0.6,2.207428339957914
2,30,0.7,2.2122395734151925
2,30,0.8,2.22496404676352
2,30,0.9,2.210329990090243
2,30,1,2.2247700074811654
2,80,0.1,2.4635214062573265
2,80,0.2,2.3283447290426063
2,80,0.3,2.2378241097668243
2,80,0.6,2.204724937667306
2,80,0.7,2.2084603222336474
2,80,0.8,2.2203110244551434
2,80,0.9,2.205510570795571
2,80,1,2.220159455339107
2,120,0.1,2.465898384250079
2,120,0.2,2.329834797694645
2,120,0.3,2.238014853095837
2,120,0.6,2.2028758031028555
2,120,0.7,2.205706438140891
2,120,0.8,2.216830429462571
2,120,0.9,2.2018415385506356
2,120,1,2.216608244355771
2,140,0.1,2.4672518199690217
2,140,0.2,2.3307127392555813
2,140,0.3,2.2382429904833687
2,140,0.6,2.2020365387740757
2,140,0.7,2.204410411638665
2,140,0.8,2.215173124586612
2,140,0.9,2.2000826189501437
2,140,1,2.214902856456017
2,145,0.1,2.4676061019082285
2,145,0.2,2.3309447835003203
2,145,0.3,2.2383128395468037
2,145,0.6,2.201836561169944
2,145,0.7,2.2040963696683207
2,145,0.8,2.214769432429207
2,145,0.9,2.1996530645252883
2,145,1,2.2144863560449797
2,150,0.1,2.4679665165617957
2,150,0.2,2.331181653453333
2,150,0.3,2.2383877063443407
2,150,0.6,2.2016407269695883
2,150,0.7,2.203786579942529
2,150,0.8,2.214370294488156
2,150,0.9,2.1992278945009653
2,150,1,2.214074113808182
2,180,0.1,2.470251357237366
2,180,0.2,2.332699591547004
2,180,0.3,2.2389404136947655
2,180,0.6,2.2005575637686037
2,180,0.7,2.2020227900761644
2,180,0.8,2.2120770819054325
2,180,0.9,2.196774872393647
2,180,1,2.2116958749302844
3,1,0.1,2.235856143465936
3,1,0.2,2.0818963378229367
3,1,0.3,2.0800234972999188
3,1,0.6,2.094511679178685
3,1,0.7,2.093588535939263
3,1,0.8,2.0986385440838986
3,1,0.9,2.0940225149822522
3,1,1,2.08963789974376
3,30,0.1,2.2353082140405873
3,30,0.2,2.081392965517573
3,30,0.3,2.0788037416416674
3,30,0.6,2.091457061689656
3,30,0.7,2.0905786587498585
3,30,0.8,2.094729518011241
3,30,0.9,2.090242660272009
3,30,1,2.086006075002931
3,80,0.1,2.2350694669862894
3,80,0.2,2.0811602560647846
3,80,0.3,2.0773118611662187
3,80,0.6,2.086798279651634
3,80,0.7,2.085995615277602
