k,weight_factor,penalty_factor,MSE
9,145,0.4,1.8924283610458572
9,145,0.5,1.9006294464150852
9,150,0.4,1.8920926889484135
9,150,0.5,1.900273008195276
9,180,0.4,1.8901426369029768
9,180,0.5,1.8981957085287913
10,1,0.4,1.8835432889007853
10,1,0.5,1.9103252399329456
10,30,0.4,1.8812177698726988
10,30,0.5,1.9075343570239103
10,80,0.4,1.8777575237823627
10,80,0.5,1.903252861211102
10,120,0.4,1.8752497452164631
10,120,0.5,1.9000151673045143
10,140,0.4,1.874045307878383
10,140,0.5,1.8984263589908328
10,145,0.4,1.8737489657043707
10,145,0.5,1.8980326315733338
10,150,0.4,1.87345459035385
10,150,0.5,1.8976404663070787
10,180,0.4,1.87173289156234
10,180,0.5,1.895325775054914
11,1,0.4,1.8846036271654953
11,1,0.5,1.900743448846926
11,30,0.4,1.8814921089835202
11,30,0.5,1.8973158348033596
11,80,0.4,1.8771508700399018
11,80,0.5,1.892408758495216
11,120,0.4,1.8742046288734746
11,120,0.5,1.8889484849804457
11,140,0.4,1.8728339107572407
11,140,0.5,1.8873071850081213
11,145,0.4,1.8724999261991429
11,145,0.5,1.886904923645045
11,150,0.4,1.872169241305014
11,150,0.5,1.8865058259063563
11,180,0.4,1.8702520778799343
11,180,0.5,1.8841775939999534
