k,weight_factor,penalty_factor,MSE
3,1,1,43.145231751801795
3,1,3,41.84214419687744
3,1,8,40.98353371228515
3,1,12,40.83708026153042
3,1,13,40.799414503170574
3,1,14,40.78070822096386
3,1,16,40.771560760749246
3,15,1,43.16069011854973
3,15,3,41.82791203872179
3,15,8,40.864661515862906
3,15,12,40.710909464053174
3,15,13,40.67222605984646
3,15,14,40.65270321235365
3,15,16,40.64086791509189
3,30,1,43.19127811197554
3,30,3,41.76167848546875
3,30,8,40.870256374897224
3,30,12,40.709042571106885
3,30,13,40.668833095238234
3,30,14,40.64780467905209
3,30,16,40.63197400953338
3,40,1,43.21155462736032
3,40,3,41.7761439923933
3,40,8,40.83561843385435
3,40,12,40.64859818857654
3,40,13,40.60722829909213
3,40,14,40.585606110480946
3,40,16,40.56905457364477
3,41,1,43.21228603067024
3,41,3,41.777603507518215
3,41,8,40.826910280424585
3,41,12,40.64749596006558
3,41,13,40.60671672367411
3,41,14,40.58541934481087
3,41,16,40.569091018538266
3,42,1,43.212227414333206
3,42,3,41.7790342978567
3,42,8,40.82040527919497
3,42,12,40.64738201260287
3,42,13,40.606855104548394
3,42,14,40.58566463020176
3,42,16,40.56932532646024
3,45,1,43.20342248307866
3,45,3,41.78294430002428
3,45,8,40.81429752232297
3,45,12,40.648779631066
3,45,13,40.60823282184588
3,45,14,40.586898649094536
3,45,16,40.5700414164552
3,50,1,43.13896612519691
3,50,3,41.785179185124974
3,50,8,40.81770688542504
3,50,12,40.6503654164817
3,50,13,40.60903043628114
3,50,14,40.58682472764349
3,50,16,40.567977376227155
4,1,1,42.91009661971793
4,1,3,41.69882245395937
4,1,8,40.96732731941022
4,1,12,40.855335706769
4,1,13,40.819861545355906
4,1,14,40.811982851519
4,1,16,40.78887840461172
4,15,1,42.93641097968399
4,15,3,41.69108085792897
4,15,8,40.844791217944596
4,15,12,40.72248873089761
4,15,13,40.68591851912238
4,15,14,40.67676781911882
4,15,16,40.65082775594754
4,30,1,42.979001091385705
4,30,3,41.63420119436451
4,30,8,40.853630057654264
4,30,12,40.72096754383215
4,30,13,40.68266975844875
4,30,14,40.67151036621234
4,30,16,40.64141648635609
4,40,1,43.00728095408939
4,40,3,41.65446990411415
4,40,8,40.82140665858951
4,40,12,40.66135498275597
4,40,13,40.62173150985435
4,40,14,40.609658100809526
4,40,16,40.57873518186645
4,41,1,43.00879864066692
4,41,3,41.656490538811234
4,41,8,40.812932775896904
4,41,12,40.66034483273436
4,41,13,40.62129530178616
4,41,14,40.60951610910773
4,41,16,40.57880597911427
4,42,1,43.00952315627714
4,42,3,41.65847893197482
4,42,8,40.80666017606524
4,42,12,40.66032385626395
4,42,13,40.62150997682673
4,42,14,40.60980739595595
4,42,16,40.57907596895031
4,45,1,43.003047685835064
4,45,3,41.66404058488624
4,45,8,40.80123764470597
4,45,12,40.662004443478274
4,45,13,40.62312096745873
4,45,14,40.611185686028676
4,45,16,40.57990604261871
4,50,1,42.94240244944592
4,50,3,41.668957507445235
4,50,8,40.80574624671902
4,50,12,40.66406902107866
4,50,13,40.62431629577142
4,50,14,40.61136772210555
4,50,16,40.57805000819849
